,time,drink,amount
60,12-29-2020 08:30,Godfather,6.5
61,12-31-2020 02:37,Halloween Punch,8.0
62,12-30-2020 01:58,Rusty Nail,4.0
63,12-29-2020 01:06,Rum Cooler,4.99
64,12-27-2020 09:48,Funk and Soul,5.15
65,12-30-2020 19:34,Afternoon,3.0
66,12-30-2020 05:08,Oatmeal Cookie,4.99
67,12-29-2020 05:57,Cuba Libra,2.99
68,12-28-2020 21:52,Zizi Coin-coin,5.0
69,12-30-2020 04:39,Big Red,8.0
70,12-30-2020 18:15,Cuba Libra,2.99
71,12-26-2020 22:16,Lassi - Sweet,8.0
72,12-31-2020 01:22,Pina Colada,5.5
73,12-28-2020 03:56,Dry Martini,8.0
74,12-26-2020 21:47,Winter Rita,5.5
75,12-31-2020 04:51,Gin Tonic,6.5
76,12-27-2020 07:02,Cuba Libra,2.99
77,12-27-2020 15:53,Pina Colada,5.5
78,12-30-2020 01:25,Afternoon,3.0
79,12-28-2020 20:02,B-53,5.15
80,12-27-2020 11:56,Tom Collins,5.5
81,12-30-2020 21:21,Veteran,8.0
82,12-31-2020 17:57,Grim Reaper,4.0
83,12-28-2020 00:59,Campari Beer,7.5
84,12-30-2020 17:03,Jack's Vanilla Coke,6.5
85,12-26-2020 18:17,Pina Colada,5.5
86,12-30-2020 00:58,Chicago Fizz,5.5
87,12-30-2020 17:03,Gin Rickey,4.0
88,12-26-2020 20:21,Port Wine Flip,5.0
89,12-26-2020 13:11,Gin Fizz,2.99
90,12-27-2020 14:45,Sweet Tooth,2.99
91,12-30-2020 17:01,Gin Daisy,4.99
92,12-29-2020 05:47,Vodka Martini,4.2
93,12-29-2020 17:37,Figgy Thyme,3.0
94,12-25-2020 19:12,Snowball,11.0
95,12-28-2020 14:28,Dry Rob Roy,5.5
96,12-27-2020 22:39,Cuba Libra,2.99
97,12-26-2020 15:56,Bellini,2.99
98,12-26-2020 14:42,Dry Martini,8.0
99,12-29-2020 14:20,Limona Corona,4.2
100,12-26-2020 16:00,Porto flip,4.99
101,12-29-2020 16:00,French 75,6.5
102,12-27-2020 10:20,Chicago Fizz,5.5
103,12-27-2020 12:33,Port Wine Flip,5.0
104,12-28-2020 06:39,Mudslinger,11.0
105,12-30-2020 19:15,Lone Tree Cooler,5.5
106,12-30-2020 10:46,Dark Caipirinha,2.99
107,12-29-2020 21:26,Jelly Bean,3.0
108,12-29-2020 10:41,English Highball,7.5
109,12-26-2020 21:04,Gin Tonic,6.5
110,12-27-2020 10:37,Tequila Sour,5.15
111,12-27-2020 18:38,Kurant Tea,3.0
112,12-29-2020 05:55,Espresso Martini,11.0
113,12-31-2020 12:10,Pina Colada,5.5
114,12-27-2020 14:43,Whitecap Margarita,4.99
115,12-28-2020 21:07,Victor,4.2
116,12-28-2020 08:11,Waikiki Beachcomber,5.5
117,12-29-2020 19:45,GG,12.0
118,12-29-2020 11:16,Porto flip,4.99
119,12-30-2020 23:20,City Slicker,4.0
120,12-30-2020 03:58,Chicago Fizz,5.5
121,12-30-2020 00:35,Pink Panty Pulldowns,2.99
122,12-27-2020 06:40,Fruit Shake,5.5
123,12-31-2020 20:27,Cuba Libre,4.2
124,12-25-2020 18:35,Death in the Afternoon,4.0
125,12-29-2020 09:03,Iced Coffee Fillip,5.0
126,12-29-2020 14:38,Lassi Raita,6.5
127,12-30-2020 20:46,Limona Corona,4.2
128,12-26-2020 12:20,Fruit Shake,5.5
129,12-26-2020 19:43,Dry Martini,8.0
130,12-29-2020 04:39,Clover Club,4.99
131,12-26-2020 16:31,Kiwi Martini,5.5
132,12-26-2020 14:37,Kurant Tea,3.0
133,12-26-2020 16:57,Chicago Fizz,5.5
134,12-29-2020 09:32,Mojito,5.5
135,12-26-2020 20:21,Pina Colada,5.5
136,12-25-2020 20:45,Ipamena,2.99
137,12-25-2020 23:16,Cuba Libra,2.99
138,12-28-2020 01:49,Corn n Oil,8.0
139,12-26-2020 19:58,Zizi Coin-coin,5.0
140,12-31-2020 11:31,Kiwi Papaya Smoothie,5.15
141,12-27-2020 03:40,Snowball,11.0
142,12-28-2020 08:55,Honey Bee,3.0
143,12-26-2020 22:17,Lemon Drop,2.99
144,12-29-2020 22:36,Pina Colada,5.5
145,12-29-2020 09:23,Owen's Grandmother's Revenge,8.0
146,12-31-2020 16:13,Bora Bora,2.99
147,12-28-2020 01:49,Cuba Libra,2.99
148,12-28-2020 10:46,Grass Skirt,2.99
149,12-30-2020 15:14,Damned if you do,6.5
150,12-26-2020 07:55,Orgasm,5.15
151,12-28-2020 22:05,Quick-sand,4.0
152,12-29-2020 05:44,After sex,7.5
153,12-29-2020 15:14,Casino Royale,11.0
154,12-31-2020 00:04,Yoghurt Cooler,3.5
155,12-30-2020 16:16,Limona Corona,4.2
156,12-29-2020 18:58,Clover Club,4.99
157,12-27-2020 08:46,Quick-sand,4.0
158,12-29-2020 13:05,Whitecap Margarita,4.99
159,12-27-2020 15:26,Chicago Fizz,5.5
160,12-29-2020 16:09,Long Island Iced Tea,3.0
161,12-30-2020 21:50,Pina Colada,5.5
162,12-27-2020 18:32,Royal Gin Fizz,7.5
163,12-27-2020 01:24,Horse's Neck,7.5
164,12-30-2020 17:23,Ipamena,2.99
165,12-31-2020 07:13,Shot-gun,7.5
166,12-29-2020 20:51,Affinity,2.99
167,12-28-2020 09:59,Queen Charlotte,8.0
168,12-27-2020 00:35,Cuba Libra,2.99
169,12-31-2020 15:21,Mudslinger,11.0
170,12-27-2020 04:58,Cuba Libra,2.99
171,12-26-2020 13:39,Barracuda,4.2
172,12-25-2020 17:15,Dry Martini,8.0
173,12-27-2020 13:10,Shot-gun,7.5
174,12-27-2020 04:06,Yellow Bird,8.0
175,12-26-2020 00:51,Mai Tai,11.0
176,12-27-2020 01:50,Cuba Libra,2.99
177,12-27-2020 21:47,Kurant Tea,3.0
178,12-27-2020 05:39,Daiquiri,11.0
179,12-28-2020 09:43,Chocolate Drink,12.0
180,12-26-2020 00:11,Chocolate Drink,12.0
181,12-25-2020 23:44,Oatmeal Cookie,4.99
182,12-27-2020 22:18,Hemingway Special,3.5
183,12-28-2020 22:41,Sea breeze,8.0
184,12-26-2020 00:07,Quick-sand,4.0
185,12-28-2020 13:47,Vesuvio,3.0
186,12-26-2020 17:01,Sweet Sangria,4.0
187,12-28-2020 06:55,Jitterbug,4.0
188,12-26-2020 10:44,Chicago Fizz,5.5
189,12-27-2020 15:18,Honey Bee,3.0
190,12-29-2020 20:18,Cuba Libra,2.99
191,12-28-2020 08:16,Broadside,5.5
192,12-26-2020 03:23,Jewel Of The Nile,6.5
193,12-30-2020 18:43,Espresso Martini,11.0
194,12-27-2020 19:50,Broadside,5.5
195,12-31-2020 14:40,Russian Spring Punch,7.5
196,12-30-2020 22:41,Owen's Grandmother's Revenge,8.0
197,12-30-2020 00:10,Caipirinha,3.5
198,12-31-2020 14:01,Fruit Cooler,8.0
199,12-31-2020 00:56,Big Red,8.0
200,12-31-2020 02:46,The Philosopher,5.15
201,12-27-2020 03:02,Sea breeze,8.0
202,12-28-2020 18:54,Chicago Fizz,5.5
203,12-28-2020 18:28,Chocolate Drink,12.0
204,12-31-2020 03:59,Kool-Aid Slammer,3.0
205,12-30-2020 16:48,Cuba Libra,2.99
206,12-26-2020 00:29,Rusty Nail,4.0
207,12-31-2020 12:31,Radioactive Long Island Iced Tea,7.5
208,12-28-2020 02:20,A. J.,11.0
209,12-25-2020 17:59,Iced Coffee Fillip,5.0
210,12-25-2020 20:53,Thai Iced Coffee,4.2
211,12-26-2020 12:28,Hemingway Special,3.5
212,12-28-2020 01:24,After sex,7.5
213,12-31-2020 16:08,Bora Bora,2.99
214,12-28-2020 10:26,Halloween Punch,8.0
215,12-29-2020 19:23,Jelly Bean,3.0
216,12-28-2020 16:32,Vesuvio,3.0
217,12-31-2020 15:04,Quentin,3.5
218,12-26-2020 09:54,Iced Coffee Fillip,5.0
219,12-27-2020 16:01,Cuba Libra,2.99
220,12-29-2020 02:24,Casino,6.5
221,12-27-2020 14:25,Pina Colada,5.5
222,12-25-2020 20:20,Boxcar,5.15
223,12-27-2020 23:34,Sidecar,11.0
224,12-28-2020 02:11,Dry Martini,8.0
225,12-25-2020 22:18,Lone Tree Cooler,5.5
226,12-30-2020 10:13,Irish Coffee,7.5
227,12-27-2020 12:01,Lemon Shot,7.5
228,12-30-2020 11:44,Grim Reaper,4.0
229,12-29-2020 03:21,B-53,5.15
230,12-26-2020 15:56,Old Fashioned,5.5
231,12-30-2020 09:18,Chicago Fizz,5.5
232,12-29-2020 00:49,Cuba Libra,2.99
233,12-25-2020 16:43,Dry Martini,8.0
234,12-30-2020 23:27,Mai Tai,11.0
235,12-30-2020 10:43,Frozen Daiquiri,4.99
236,12-31-2020 09:12,Danbooka,4.99
237,12-31-2020 04:53,Kiwi Papaya Smoothie,5.15
238,12-30-2020 12:14,Loch Lomond,3.0
239,12-31-2020 22:01,Snowball,11.0
240,12-29-2020 00:33,Thai Coffee,5.5
241,12-28-2020 18:32,Irish Curdling Cow,2.99
242,12-29-2020 11:01,City Slicker,4.0
243,12-28-2020 20:53,Figgy Thyme,3.0
244,12-27-2020 11:39,Egg Nog - Healthy,11.0
245,12-30-2020 01:48,Cuba Libra,2.99
246,12-28-2020 09:59,City Slicker,4.0
247,12-27-2020 23:27,Cuba Libre,4.2
248,12-29-2020 12:02,Victory Collins,7.5
249,12-31-2020 05:48,Kill the cold Smoothie,11.0
250,12-26-2020 08:59,Jackhammer,3.5
251,12-27-2020 16:57,Pina Colada,5.5
252,12-28-2020 17:15,Thai Iced Coffee,4.2
253,12-31-2020 05:51,Mother's Milk,5.0
254,12-27-2020 21:58,Gimlet,4.2
255,12-26-2020 21:23,Sangria,3.5
256,12-27-2020 05:21,Russian Spring Punch,7.5
257,12-27-2020 15:46,Lemon Drop,2.99
258,12-31-2020 12:11,Zippy's Revenge,5.0
259,12-31-2020 11:58,Planter’s Punch,8.0
260,12-27-2020 21:56,Queen Charlotte,8.0
261,12-30-2020 00:39,Midnight Mint,7.5
262,12-27-2020 16:43,Cuba Libra,2.99
263,12-30-2020 14:22,Cuba Libra,2.99
264,12-28-2020 06:50,Chicago Fizz,5.5
265,12-30-2020 04:29,Sweet Tooth,2.99
266,12-31-2020 15:43,Gimlet,4.2
267,12-30-2020 22:25,Bora Bora,2.99
268,12-26-2020 00:53,Hemingway Special,3.5
269,12-27-2020 16:57,Scooter,12.0
270,12-30-2020 05:56,Irish Spring,5.15
271,12-31-2020 05:59,Queen Charlotte,8.0
272,12-31-2020 22:49,Big Red,8.0
273,12-28-2020 11:03,Dry Martini,8.0
274,12-30-2020 06:36,Grim Reaper,4.0
275,12-31-2020 13:48,Pina Colada,5.5
276,12-28-2020 09:37,Broadside,5.5
277,12-27-2020 04:11,Mango Mojito,7.5
278,12-28-2020 14:08,Hemingway Special,3.5
279,12-29-2020 01:50,Cuba Libra,2.99
280,12-27-2020 12:15,Jelly Bean,3.0
281,12-25-2020 21:20,Grim Reaper,4.0
282,12-27-2020 03:41,Death in the Afternoon,4.0
283,12-28-2020 12:03,Pina Colada,5.5
284,12-28-2020 05:07,Victory Collins,7.5
285,12-27-2020 00:52,Cuba Libra,2.99
286,12-28-2020 20:59,Jelly Bean,3.0
287,12-30-2020 18:58,Orgasm,5.15
288,12-31-2020 12:47,Cuba Libra,2.99
289,12-31-2020 11:10,Old Fashioned,5.5
290,12-27-2020 17:03,Mango Mojito,7.5
291,12-26-2020 17:13,Grasshopper,4.99
292,12-31-2020 08:51,Pina Colada,5.5
293,12-29-2020 18:04,Clover Club,4.99
294,12-30-2020 03:32,Danbooka,4.99
295,12-28-2020 10:38,Egg Cream,4.99
296,12-29-2020 10:12,Grass Skirt,2.99
297,12-26-2020 01:28,Mango Mojito,7.5
298,12-28-2020 03:05,Queen Charlotte,8.0
299,12-28-2020 16:06,Casa Blanca,5.15
300,12-26-2020 19:00,Limona Corona,4.2
301,12-26-2020 01:36,Bubble Gum,3.0
302,12-26-2020 08:42,Cuba Libra,2.99
303,12-26-2020 17:27,Chicago Fizz,5.5
304,12-28-2020 23:48,Dry Martini,8.0
305,12-31-2020 16:48,Mudslinger,11.0
306,12-28-2020 18:42,Victory Collins,7.5
307,12-28-2020 06:29,Grizzly Bear,12.0
308,12-30-2020 10:41,Frisco Sour,4.0
309,12-26-2020 00:08,Cuba Libra,2.99
310,12-30-2020 02:35,Rum Sour,5.5
311,12-26-2020 23:04,Kurant Tea,3.0
312,12-27-2020 10:18,Dry Martini,8.0
313,12-26-2020 02:05,Cuba Libra,2.99
314,12-29-2020 10:34,Cuba Libra,2.99
315,12-31-2020 23:44,Yoghurt Cooler,3.5
316,12-26-2020 07:05,Owen's Grandmother's Revenge,8.0
317,12-25-2020 18:40,Mimosa,5.0
318,12-31-2020 00:16,Rusty Nail,4.0
319,12-29-2020 12:00,Monkey Gland,11.0
320,12-28-2020 15:53,French 75,6.5
321,12-30-2020 05:57,Sol Y Sombra,5.15
322,12-29-2020 03:08,Danbooka,4.99
323,12-26-2020 14:02,Cuba Libra,2.99
324,12-31-2020 03:58,Bob Marley,4.0
325,12-30-2020 22:22,Pina Colada,5.5
326,12-31-2020 17:28,Rusty Nail,4.0
327,12-27-2020 09:40,Chicago Fizz,5.5
328,12-27-2020 18:48,Creme de Menthe,3.5
329,12-25-2020 17:13,Queen Charlotte,8.0
330,12-27-2020 11:09,Creme de Menthe,3.5
331,12-28-2020 20:08,Irish Coffee,7.5
332,12-29-2020 15:21,Mimosa,5.0
333,12-26-2020 14:35,Rusty Nail,4.0
334,12-26-2020 10:37,Egg Nog - Healthy,11.0
335,12-29-2020 04:08,Chicago Fizz,5.5
336,12-26-2020 07:47,Victory Collins,7.5
337,12-26-2020 13:24,Pysch Vitamin Light,6.5
338,12-31-2020 07:44,Iced Coffee Fillip,5.0
339,12-26-2020 20:03,Monkey Gland,11.0
340,12-26-2020 08:25,Frosé,2.99
341,12-25-2020 23:26,Cuba Libra,2.99
342,12-27-2020 02:24,Nuked Hot Chocolate,12.0
343,12-30-2020 22:37,Dry Martini,8.0
344,12-31-2020 07:00,Long Island Iced Tea,3.0
345,12-27-2020 04:34,Rum Toddy,4.2
346,12-31-2020 03:23,Kiwi Papaya Smoothie,5.15
347,12-31-2020 12:43,Sangria,3.5
348,12-30-2020 19:30,Kiwi Papaya Smoothie,5.15
349,12-31-2020 04:47,H.D.,7.5
350,12-25-2020 19:59,Dry Martini,8.0
351,12-27-2020 09:31,Casino,6.5
352,12-28-2020 14:40,Jack's Vanilla Coke,6.5
353,12-27-2020 21:27,Victor,4.2
354,12-30-2020 22:36,Dry Rob Roy,5.5
355,12-30-2020 17:31,Vampiro,11.0
356,12-26-2020 04:49,Pina Colada,5.5
357,12-28-2020 09:34,Bora Bora,2.99
358,12-27-2020 05:15,Owen's Grandmother's Revenge,8.0
359,12-29-2020 20:37,Bloody Mary,5.5
360,12-25-2020 17:15,Hunter's Moon,3.0
361,12-27-2020 22:26,Dry Martini,8.0
362,12-28-2020 08:51,Victory Collins,7.5
363,12-27-2020 01:37,Yellow Bird,8.0
364,12-30-2020 01:46,Cream Soda,5.15
365,12-31-2020 01:32,Affinity,2.99
366,12-30-2020 10:46,Lemouroudji,5.15
367,12-26-2020 06:15,Van Vleet,4.2
368,12-26-2020 18:51,Gin Tonic,6.5
369,12-25-2020 22:25,Kill the cold Smoothie,11.0
370,12-26-2020 01:55,Talos Coffee,5.15
371,12-31-2020 12:57,After sex,7.5
372,12-26-2020 15:55,Pina Colada,5.5
373,12-29-2020 03:15,Chocolate Drink,12.0
374,12-28-2020 02:51,Chicago Fizz,5.5
375,12-25-2020 22:54,After sex,7.5
376,12-25-2020 19:07,Dry Martini,8.0
377,12-26-2020 23:55,Ipamena,2.99
378,12-29-2020 01:36,Talos Coffee,5.15
379,12-25-2020 19:48,Mother's Milk,5.0
380,12-27-2020 21:47,Chicago Fizz,5.5
381,12-31-2020 08:18,Lemouroudji,5.15
382,12-28-2020 12:51,Winter Rita,5.5
383,12-27-2020 02:06,Winter Paloma,8.0
384,12-27-2020 09:55,Scooter,12.0
385,12-30-2020 05:02,Dry Martini,8.0
386,12-27-2020 21:56,Dry Rob Roy,5.5
387,12-27-2020 22:11,Yoghurt Cooler,3.5
388,12-28-2020 06:38,Sweet Sangria,4.0
389,12-28-2020 19:11,Winter Paloma,8.0
390,12-31-2020 08:58,Rum Sour,5.5
391,12-27-2020 13:38,Vampiro,11.0
392,12-31-2020 14:58,Casa Blanca,5.15
393,12-31-2020 06:13,Broadside,5.5
394,12-31-2020 13:31,Death in the Afternoon,4.0
395,12-25-2020 23:05,French 75,6.5
396,12-26-2020 10:50,Yellow Bird,8.0
397,12-27-2020 22:49,Valencia Cocktail,5.5
398,12-27-2020 08:10,Tom Collins,5.5
399,12-26-2020 04:14,Lone Tree Cooler,5.5
400,12-28-2020 05:43,Boston Sour,5.0
401,12-27-2020 15:48,Jackhammer,3.5
402,12-28-2020 04:44,Snowball,11.0
403,12-29-2020 21:57,Halloween Punch,8.0
404,12-29-2020 03:12,Iced Coffee Fillip,5.0
405,12-30-2020 02:14,Grim Reaper,4.0
406,12-30-2020 03:27,Thai Iced Coffee,4.2
407,12-26-2020 13:19,Afternoon,3.0
408,12-25-2020 18:49,Long Island Iced Tea,3.0
409,12-28-2020 03:16,Frozen Daiquiri,4.99
410,12-30-2020 23:12,Gin Tonic,6.5
411,12-29-2020 16:28,Whitecap Margarita,4.99
412,12-27-2020 17:20,Affair,8.0
413,12-28-2020 02:52,Rusty Nail,4.0
414,12-31-2020 10:21,Boston Sour,5.0
415,12-28-2020 09:26,Iced Coffee Fillip,5.0
416,12-27-2020 20:12,Munich Mule,12.0
417,12-27-2020 10:39,Chicago Fizz,5.5
418,12-25-2020 20:12,Hemingway Special,3.5
419,12-31-2020 11:36,Cuba Libra,2.99
420,12-29-2020 04:17,Pineapple Gingerale Smoothie,4.2
421,12-31-2020 04:33,Mai Tai,11.0
422,12-26-2020 01:06,Fruit Shake,5.5
423,12-31-2020 11:07,Frozen Daiquiri,4.99
424,12-27-2020 10:21,Owen's Grandmother's Revenge,8.0
425,12-31-2020 03:30,Tom Collins,5.5
426,12-29-2020 02:26,Casino Royale,11.0
427,12-26-2020 04:35,Clover Club,4.99
428,12-27-2020 02:43,Grasshopper,4.99
429,12-25-2020 22:46,Bramble,4.2
430,12-25-2020 23:21,Mai Tai,11.0
431,12-26-2020 03:19,Sol Y Sombra,5.15
432,12-28-2020 05:35,Iced Coffee Fillip,5.0
433,12-31-2020 21:01,Dry Martini,8.0
434,12-26-2020 22:43,Jewel Of The Nile,6.5
435,12-27-2020 20:21,Owen's Grandmother's Revenge,8.0
436,12-25-2020 18:31,Affinity,2.99
437,12-28-2020 03:59,Jack's Vanilla Coke,6.5
438,12-28-2020 17:54,Quick-sand,4.0
439,12-31-2020 06:38,Chicago Fizz,5.5
440,12-27-2020 18:44,Sea breeze,8.0
441,12-26-2020 17:05,Munich Mule,12.0
442,12-25-2020 20:50,Corpse Reviver,5.15
443,12-31-2020 05:29,After sex,7.5
444,12-26-2020 15:33,Pina Colada,5.5
445,12-26-2020 20:07,Shot-gun,7.5
446,12-27-2020 20:17,Death in the Afternoon,4.0
447,12-30-2020 01:25,Tequila Sour,5.15
448,12-27-2020 18:29,Godchild,7.5
449,12-30-2020 20:47,Cuba Libre,4.2
450,12-27-2020 16:10,Radioactive Long Island Iced Tea,7.5
451,12-27-2020 10:10,Chicago Fizz,5.5
452,12-31-2020 05:33,Orange Push-up,12.0
453,12-28-2020 16:25,Grizzly Bear,12.0
454,12-28-2020 14:45,Talos Coffee,5.15
455,12-30-2020 12:35,Cream Soda,5.15
456,12-28-2020 22:46,Victory Collins,7.5
457,12-31-2020 20:02,Dry Rob Roy,5.5
458,12-28-2020 01:22,Tequila Sour,5.15
459,12-28-2020 13:45,Monkey Gland,11.0
460,12-31-2020 16:09,Egg Cream,4.99
461,12-29-2020 21:44,Cosmopolitan,2.99
462,12-31-2020 00:56,Jewel Of The Nile,6.5
463,12-31-2020 15:10,French 75,6.5
464,12-27-2020 18:13,Cream Soda,5.15
465,12-30-2020 01:16,Gin Tonic,6.5
466,12-30-2020 12:20,Vodka And Tonic,11.0
467,12-30-2020 20:46,Irish Spring,5.15
468,12-28-2020 11:10,Vodka And Tonic,11.0
469,12-25-2020 23:09,Oatmeal Cookie,4.99
470,12-28-2020 10:17,Pina Colada,5.5
471,12-28-2020 08:26,Grass Skirt,2.99
472,12-30-2020 07:00,Jack's Vanilla Coke,6.5
473,12-30-2020 14:45,White Lady,6.5
474,12-31-2020 00:19,Rum Cooler,4.99
475,12-31-2020 11:51,Death in the Afternoon,4.0
476,12-29-2020 06:37,Jackhammer,3.5
477,12-28-2020 04:33,Jack's Vanilla Coke,6.5
478,12-27-2020 15:02,Karsk,11.0
479,12-26-2020 17:17,Dry Rob Roy,5.5
480,12-30-2020 05:35,Irish Spring,5.15
481,12-26-2020 21:15,Sea breeze,8.0
482,12-31-2020 20:25,Tequila Sour,5.15
483,12-28-2020 08:32,Ipamena,2.99
484,12-30-2020 14:50,A. J.,11.0
485,12-30-2020 20:13,Old Fashioned,5.5
486,12-25-2020 23:08,Dark Caipirinha,2.99
487,12-31-2020 15:50,Pysch Vitamin Light,6.5
488,12-29-2020 12:03,Coffee Liqueur,5.5
489,12-30-2020 07:27,Big Red,8.0
490,12-30-2020 16:44,Dry Rob Roy,5.5
491,12-31-2020 18:14,Cuba Libra,2.99
492,12-30-2020 03:08,Nuked Hot Chocolate,12.0
493,12-27-2020 15:34,Limona Corona,4.2
494,12-26-2020 10:33,Cuba Libra,2.99
495,12-26-2020 14:21,Cuba Libra,2.99
496,12-25-2020 16:04,Cuba Libra,2.99
497,12-25-2020 23:01,Victory Collins,7.5
498,12-31-2020 16:26,Owen's Grandmother's Revenge,8.0
499,12-29-2020 02:26,Frozen Daiquiri,4.99
500,12-26-2020 12:01,Chicago Fizz,5.5
501,12-28-2020 10:05,Jack's Vanilla Coke,6.5
502,12-30-2020 10:37,Gin Fizz,2.99
503,12-30-2020 09:10,Valencia Cocktail,5.5
504,12-26-2020 21:31,Hemingway Special,3.5
505,12-30-2020 22:33,Iced Coffee Fillip,5.0
506,12-28-2020 03:40,Thai Iced Coffee,4.2
507,12-29-2020 02:25,Caipirinha,3.5
508,12-27-2020 12:25,Long Island Iced Tea,3.0
509,12-26-2020 22:49,Big Red,8.0
510,12-29-2020 14:35,Sweet Sangria,4.0
511,12-28-2020 10:48,Sweet Tooth,2.99
512,12-26-2020 16:31,Pina Colada,5.5
513,12-31-2020 17:38,Iced Coffee Fillip,5.0
514,12-29-2020 06:24,Affinity,2.99
515,12-30-2020 18:55,Munich Mule,12.0
516,12-26-2020 01:34,Cuba Libra,2.99
517,12-29-2020 17:18,Horse's Neck,7.5
518,12-30-2020 14:07,Grim Reaper,4.0
519,12-27-2020 17:02,Cuba Libra,2.99
520,12-25-2020 20:17,Radioactive Long Island Iced Tea,7.5
521,12-30-2020 09:32,Grim Reaper,4.0
522,12-25-2020 18:14,Scooter,12.0
523,12-29-2020 02:08,Orange Crush,5.5
524,12-25-2020 20:25,White Lady,6.5
525,12-30-2020 18:13,Munich Mule,12.0
526,12-26-2020 12:12,Ipamena,2.99
527,12-29-2020 08:28,Bora Bora,2.99
528,12-27-2020 18:12,Grim Reaper,4.0
529,12-30-2020 05:59,Mulled Wine,11.0
530,12-31-2020 00:04,Bob Marley,4.0
531,12-30-2020 00:05,Allegheny,7.5
532,12-29-2020 13:19,Frozen Daiquiri,4.99
533,12-29-2020 03:52,Chocolate Drink,12.0
534,12-27-2020 03:04,Irish Curdling Cow,2.99
535,12-27-2020 05:57,Scooter,12.0
536,12-31-2020 17:56,Pina Colada,5.5
537,12-31-2020 10:49,Cosmopolitan,2.99
538,12-31-2020 08:55,Karsk,11.0
539,12-27-2020 19:19,Dark Caipirinha,2.99
540,12-31-2020 04:58,Dry Martini,8.0
541,12-26-2020 04:58,Lassi Raita,6.5
542,12-30-2020 18:55,Dry Martini,8.0
543,12-27-2020 03:34,Campari Beer,7.5
544,12-29-2020 21:47,Jewel Of The Nile,6.5
545,12-28-2020 01:57,Gin Fizz,2.99
546,12-30-2020 08:02,Lemon Drop,2.99
547,12-26-2020 11:55,Orange Oasis,4.99
548,12-27-2020 00:52,Lone Tree Cooler,5.5
549,12-29-2020 12:08,Bramble,4.2
550,12-31-2020 03:22,Kool-Aid Slammer,3.0
551,12-29-2020 07:32,Chicago Fizz,5.5
552,12-27-2020 16:59,Casino,6.5
553,12-27-2020 08:27,Chicago Fizz,5.5
554,12-29-2020 08:33,Lone Tree Cooler,5.5
555,12-30-2020 17:06,Chicago Fizz,5.5
556,12-30-2020 10:48,Casino Royale,11.0
