,TS,ital,költség
198,2020-12-26 18:48:08,Chocolate Milk,5.15
199,2020-12-29 10:15:39,Zimadori Zinger,12.0
200,2020-12-31 01:05:44,Porto flip,4.99
201,2020-12-31 17:22:08,Victor,4.2
202,2020-12-31 21:52:40,Waikiki Beachcomber,5.5
203,2020-12-30 15:38:30,Margarita,7.5
204,2020-12-31 06:45:28,Nuked Hot Chocolate,12.0
205,2020-12-31 19:13:00,Figgy Thyme,3.0
206,2020-12-29 09:01:01,Grasshopper,4.99
207,2020-12-26 00:35:59,John Collins,6.5
208,2020-12-30 19:37:53,Old Fashioned,5.5
209,2020-12-26 00:03:41,Chocolate Drink,12.0
210,2020-12-27 03:13:45,Long Island Tea,8.0
211,2020-12-28 10:38:58,Valencia Cocktail,5.5
212,2020-12-30 09:46:47,Gin Rickey,4.0
213,2020-12-30 21:34:54,Zizi Coin-coin,5.0
214,2020-12-28 07:28:32,Adam,3.5
215,2020-12-30 14:31:19,Egg Nog - Healthy,11.0
216,2020-12-30 16:56:54,Shot-gun,7.5
217,2020-12-26 05:14:51,Sangria,3.5
218,2020-12-28 17:10:54,Imperial Cocktail,4.99
219,2020-12-27 06:03:53,Turf Cocktail,12.0
220,2020-12-26 13:18:30,Jelly Bean,3.0
221,2020-12-31 19:41:24,Iced Coffee Fillip,5.0
222,2020-12-29 07:31:04,Vodka And Tonic,11.0
223,2020-12-26 10:19:55,Coffee Liqueur,5.5
224,2020-12-31 17:29:06,Melya,8.0
225,2020-12-30 10:32:09,Whitecap Margarita,4.99
226,2020-12-28 05:20:03,Nuked Hot Chocolate,12.0
227,2020-12-29 19:40:45,Quick-sand,4.0
228,2020-12-30 12:20:33,Talos Coffee,5.15
229,2020-12-29 10:23:07,Imperial Cocktail,4.99
230,2020-12-28 04:23:59,Margarita,7.5
231,2020-12-26 21:41:34,A. J.,11.0
232,2020-12-26 03:40:02,Old Fashioned,5.5
233,2020-12-26 15:39:26,Corn n Oil,8.0
234,2020-12-28 17:11:57,Scotch Sour,7.5
235,2020-12-26 04:14:38,Irish Curdling Cow,2.99
236,2020-12-26 19:48:49,Lassi - Sweet,8.0
237,2020-12-30 06:57:06,Mango Mojito,7.5
238,2020-12-31 23:44:31,Orange Crush,5.5
239,2020-12-26 17:27:42,Yoghurt Cooler,3.5
240,2020-12-31 08:05:25,Manhattan,4.2
241,2020-12-28 11:15:14,Boston Sour,5.0
242,2020-12-27 23:08:36,Dry Rob Roy,5.5
243,2020-12-29 04:54:09,Victory Collins,7.5
244,2020-12-30 09:05:11,Long Island Tea,8.0
245,2020-12-28 00:22:14,Grizzly Bear,12.0
246,2020-12-31 01:00:40,Corpse Reviver,5.15
247,2020-12-27 08:41:32,Corpse Reviver,5.15
248,2020-12-29 23:23:30,Creme de Menthe,3.5
249,2020-12-29 14:47:42,Greyhound,4.99
250,2020-12-30 20:16:56,Funk and Soul,5.15
251,2020-12-30 23:25:19,Creme de Menthe,3.5
252,2020-12-28 22:23:09,Chocolate Drink,12.0
253,2020-12-31 08:03:43,Margarita,7.5
254,2020-12-26 14:50:27,Mint Julep,8.0
255,2020-12-30 14:59:41,Zimadori Zinger,12.0
256,2020-12-29 06:57:31,Yoghurt Cooler,3.5
257,2020-12-27 20:19:05,Kurant Tea,3.0
258,2020-12-29 19:32:35,GG,12.0
259,2020-12-27 02:05:53,Horse's Neck,7.5
260,2020-12-29 20:05:50,Gin Tonic,6.5
261,2020-12-27 23:07:43,Scooter,12.0
262,2020-12-29 23:01:44,Port Wine Flip,5.0
263,2020-12-29 13:33:40,Kool-Aid Slammer,3.0
264,2020-12-30 00:51:35,Hawaiian Cocktail,6.5
265,2020-12-27 14:24:22,Long Island Tea,8.0
266,2020-12-28 02:05:58,Gin Rickey,4.0
267,2020-12-28 01:19:12,Waikiki Beachcomber,5.5
268,2020-12-30 13:06:29,Rum Cooler,4.99
269,2020-12-30 17:30:46,Bob Marley,4.0
270,2020-12-29 10:19:22,Vesuvio,3.0
271,2020-12-31 04:23:11,Manhattan,4.2
272,2020-12-28 09:57:11,Godfather,6.5
273,2020-12-29 06:26:47,Thai Coffee,5.5
274,2020-12-28 21:27:23,Victor,4.2
275,2020-12-27 09:03:37,Manhattan,4.2
276,2020-12-26 07:15:26,B-53,5.15
277,2020-12-26 04:34:58,Thai Coffee,5.5
278,2020-12-26 08:19:17,Hawaiian Cocktail,6.5
279,2020-12-29 14:53:17,Whitecap Margarita,4.99
280,2020-12-29 03:53:29,Quick-sand,4.0
281,2020-12-28 12:52:31,Gin Fizz,2.99
282,2020-12-30 04:20:28,Lord And Lady,8.0
283,2020-12-27 19:30:10,Rum Cooler,4.99
284,2020-12-28 03:42:42,Winter Rita,5.5
285,2020-12-28 21:21:17,Lemouroudji,5.15
286,2020-12-31 06:01:38,After sex,7.5
287,2020-12-26 09:58:14,Margarita,7.5
288,2020-12-27 05:08:42,Radioactive Long Island Iced Tea,7.5
289,2020-12-31 19:30:49,Coffee Liqueur,5.5
290,2020-12-27 04:33:28,Mojito,5.5
291,2020-12-27 10:12:14,After sex,7.5
292,2020-12-31 22:48:09,Sweet Tooth,2.99
293,2020-12-30 04:30:41,Manhattan,4.2
294,2020-12-28 18:19:03,Hawaiian Cocktail,6.5
295,2020-12-26 05:08:04,Nuked Hot Chocolate,12.0
296,2020-12-26 19:49:14,Addison,12.0
297,2020-12-26 21:44:52,Oreo Mudslide,8.0
298,2020-12-28 11:04:57,Clover Club,4.99
299,2020-12-28 18:20:52,Manhattan,4.2
300,2020-12-25 20:34:39,Gin Fizz,2.99
301,2020-12-29 22:40:28,Margarita,7.5
302,2020-12-31 05:05:41,Cream Soda,5.15
303,2020-12-27 21:19:29,Campari Beer,7.5
304,2020-12-29 01:06:26,H.D.,7.5
305,2020-12-25 18:10:50,Victory Collins,7.5
306,2020-12-25 20:31:56,Citrus Coke,5.15
307,2020-12-27 12:52:20,Vodka And Tonic,11.0
308,2020-12-29 00:53:53,Dry Martini,8.0
309,2020-12-30 18:24:07,Nuked Hot Chocolate,12.0
310,2020-12-28 12:28:26,Rusty Nail,4.0
311,2020-12-27 23:45:55,Manhattan,4.2
312,2020-12-31 03:07:37,Death in the Afternoon,4.0
313,2020-12-27 02:29:10,Lassi - Sweet,8.0
314,2020-12-30 15:20:04,Sangria,3.5
315,2020-12-26 04:25:41,Espresso Martini,11.0
316,2020-12-26 14:38:19,Mint Julep,8.0
317,2020-12-30 19:39:59,Death in the Afternoon,4.0
318,2020-12-31 16:05:21,Gin Tonic,6.5
319,2020-12-28 04:56:15,Imperial Cocktail,4.99
320,2020-12-26 14:33:34,Long Island Tea,8.0
321,2020-12-28 03:47:04,Manhattan,4.2
322,2020-12-31 23:44:48,Imperial Cocktail,4.99
323,2020-12-30 19:54:23,Negroni,2.99
324,2020-12-30 11:12:56,Old Fashioned,5.5
325,2020-12-27 03:28:11,Caipirinha,3.5
326,2020-12-30 02:52:18,Limona Corona,4.2
327,2020-12-29 01:19:08,Texas Rattlesnake,3.5
328,2020-12-31 12:29:32,Rusty Nail,4.0
329,2020-12-27 15:38:43,Margarita,7.5
330,2020-12-28 07:49:22,Hemingway Special,3.5
331,2020-12-31 09:29:17,Cosmopolitan,2.99
332,2020-12-30 07:04:54,White Lady,6.5
333,2020-12-30 16:54:31,Hawaiian Cocktail,6.5
334,2020-12-27 12:53:51,Irish Curdling Cow,2.99
335,2020-12-26 22:50:12,Veteran,8.0
336,2020-12-29 23:47:39,Long Island Tea,8.0
337,2020-12-31 04:29:53,Imperial Cocktail,4.99
338,2020-12-29 20:08:43,Horse's Neck,7.5
339,2020-12-28 21:18:44,Bijou,4.0
340,2020-12-26 23:51:21,Coffee Liqueur,5.5
341,2020-12-29 05:07:04,Horse's Neck,7.5
342,2020-12-27 14:45:22,Hawaiian Cocktail,6.5
343,2020-12-27 22:38:19,Long Island Tea,8.0
344,2020-12-27 23:05:13,Hawaiian Cocktail,6.5
345,2020-12-26 01:37:11,French 75,6.5
346,2020-12-25 22:14:20,Veteran,8.0
347,2020-12-26 17:26:20,Russian Spring Punch,7.5
348,2020-12-30 10:52:59,Limona Corona,4.2
349,2020-12-29 13:50:24,Jackhammer,3.5
350,2020-12-30 07:41:43,Kurant Tea,3.0
351,2020-12-25 20:36:04,Orange Crush,5.5
352,2020-12-26 11:58:05,Kurant Tea,3.0
353,2020-12-26 07:11:43,Pysch Vitamin Light,6.5
354,2020-12-27 03:19:07,After sex,7.5
355,2020-12-31 02:32:16,Manhattan,4.2
356,2020-12-29 02:40:08,Margarita,7.5
357,2020-12-28 21:36:55,Cuba Libre,4.2
358,2020-12-30 13:53:16,Sweet Tooth,2.99
359,2020-12-27 23:56:26,Munich Mule,12.0
360,2020-12-28 09:58:44,Mother's Milk,5.0
361,2020-12-30 22:56:02,Pysch Vitamin Light,6.5
362,2020-12-25 22:15:11,Long Island Tea,8.0
363,2020-12-26 03:17:11,Imperial Cocktail,4.99
364,2020-12-26 08:47:34,Jelly Bean,3.0
365,2020-12-26 10:52:13,Iced Coffee Fillip,5.0
366,2020-12-30 01:25:58,Iced Coffee Fillip,5.0
367,2020-12-26 23:59:56,Zimadori Zinger,12.0
368,2020-12-29 13:07:20,Clover Club,4.99
369,2020-12-26 23:55:47,Bramble,4.2
370,2020-12-29 03:43:36,Irish Coffee,7.5
371,2020-12-29 17:08:53,Broadside,5.5
372,2020-12-31 10:42:30,Sweet Tooth,2.99
373,2020-12-31 08:50:46,Hawaiian Cocktail,6.5
374,2020-12-30 10:23:35,Jelly Bean,3.0
375,2020-12-31 04:32:52,Lassi - Sweet,8.0
376,2020-12-26 03:37:36,Hawaiian Cocktail,6.5
377,2020-12-31 18:36:20,Grizzly Bear,12.0
378,2020-12-26 19:59:33,Affinity,2.99
379,2020-12-28 02:20:06,Lassi - Sweet,8.0
380,2020-12-31 11:06:47,Dry Rob Roy,5.5
381,2020-12-28 06:57:22,Sea breeze,8.0
382,2020-12-25 18:27:13,Winter Paloma,8.0
383,2020-12-31 03:23:14,Grizzly Bear,12.0
384,2020-12-26 08:54:45,Manhattan,4.2
385,2020-12-28 13:29:53,Mint Julep,8.0
386,2020-12-30 08:15:02,Greyhound,4.99
387,2020-12-27 03:40:27,Affinity,2.99
388,2020-12-29 19:54:33,Irish Spring,5.15
389,2020-12-27 18:07:38,Margarita,7.5
390,2020-12-31 15:40:40,Broadside,5.5
391,2020-12-31 02:39:53,Tom Collins,5.5
392,2020-12-29 15:10:48,Margarita,7.5
393,2020-12-29 11:55:24,Hawaiian Cocktail,6.5
394,2020-12-30 17:20:02,Grim Reaper,4.0
395,2020-12-29 21:13:04,Horse's Neck,7.5
396,2020-12-26 04:48:23,Chocolate Drink,12.0
397,2020-12-29 11:17:11,Hawaiian Cocktail,6.5
398,2020-12-30 20:43:08,Jack's Vanilla Coke,6.5
399,2020-12-29 01:33:27,Hawaiian Cocktail,6.5
400,2020-12-30 19:00:51,Dark Caipirinha,2.99
401,2020-12-31 20:34:48,Gin Daisy,4.99
402,2020-12-30 23:17:21,Whitecap Margarita,4.99
403,2020-12-27 23:52:32,French 75,6.5
404,2020-12-28 20:32:28,Royal Gin Fizz,7.5
405,2020-12-30 00:23:23,Victor,4.2
406,2020-12-30 04:27:44,Long Island Iced Tea,3.0
407,2020-12-30 15:09:28,Imperial Cocktail,4.99
408,2020-12-31 19:23:58,Bloody Mary,5.5
409,2020-12-27 12:07:16,Jackhammer,3.5
410,2020-12-28 16:57:16,Manhattan,4.2
411,2020-12-28 01:05:19,Alexander,5.0
412,2020-12-27 01:09:54,Rum Punch,3.5
413,2020-12-26 15:18:16,Affair,8.0
414,2020-12-31 16:25:58,Chocolate Milk,5.15
415,2020-12-25 20:26:47,Zimadori Zinger,12.0
416,2020-12-31 11:38:03,Sea breeze,8.0
417,2020-12-25 18:01:52,Limona Corona,4.2
418,2020-12-28 20:33:57,Grasshopper,4.99
419,2020-12-26 11:07:22,Rum Sour,5.5
420,2020-12-26 19:14:32,Apello,3.5
421,2020-12-28 14:43:14,Long Island Tea,8.0
422,2020-12-27 18:44:57,Kurant Tea,3.0
423,2020-12-31 22:44:03,New York Lemonade,5.15
424,2020-12-27 07:00:45,Margarita,7.5
425,2020-12-31 13:38:41,Caipirinha,3.5
426,2020-12-31 10:31:49,Scooter,12.0
427,2020-12-26 05:45:12,Tequila Sour,5.15
428,2020-12-25 18:36:29,Dry Martini,8.0
429,2020-12-31 09:21:36,Manhattan,4.2
430,2020-12-27 13:11:26,Margarita,7.5
431,2020-12-28 12:18:03,Oatmeal Cookie,4.99
432,2020-12-29 11:16:25,Casino Royale,11.0
433,2020-12-26 14:58:30,Victor,4.2
434,2020-12-27 03:49:14,Clover Club,4.99
435,2020-12-29 02:21:43,Ipamena,2.99
436,2020-12-30 12:09:49,Jack's Vanilla Coke,6.5
437,2020-12-30 08:51:00,Cream Soda,5.15
438,2020-12-29 00:38:58,Clover Club,4.99
439,2020-12-31 05:52:12,Long Island Tea,8.0
440,2020-12-29 02:05:03,Grass Skirt,2.99
441,2020-12-29 10:09:05,Imperial Cocktail,4.99
442,2020-12-31 01:24:46,Planter's Punch,5.0
443,2020-12-27 17:44:07,Russian Spring Punch,7.5
444,2020-12-27 03:10:36,Shot-gun,7.5
445,2020-12-31 10:24:26,Bramble,4.2
446,2020-12-30 06:59:12,Mojito,5.5
447,2020-12-30 22:43:42,Big Red,8.0
448,2020-12-30 18:13:49,Whitecap Margarita,4.99
449,2020-12-28 02:09:34,Sol Y Sombra,5.15
450,2020-12-25 20:32:11,Imperial Cocktail,4.99
451,2020-12-30 02:16:18,Vodka And Tonic,11.0
452,2020-12-27 13:59:59,Margarita,7.5
453,2020-12-30 11:22:50,Hawaiian Cocktail,6.5
454,2020-12-29 01:41:07,Munich Mule,12.0
455,2020-12-30 04:02:40,Grim Reaper,4.0
456,2020-12-31 15:18:22,Bellini,2.99
457,2020-12-25 21:06:56,Rum Cooler,4.99
458,2020-12-30 01:15:14,Vampiro,11.0
459,2020-12-31 23:29:22,Campari Beer,7.5
460,2020-12-27 21:02:43,Pysch Vitamin Light,6.5
461,2020-12-31 18:27:49,Lone Tree Cooler,5.5
462,2020-12-28 12:30:47,Espresso Martini,11.0
463,2020-12-29 18:46:15,Fruit Shake,5.5
464,2020-12-31 08:21:26,Hawaiian Cocktail,6.5
465,2020-12-30 23:10:31,Yoghurt Cooler,3.5
466,2020-12-31 03:27:46,Kiwi Papaya Smoothie,5.15
467,2020-12-28 00:27:24,Sangria,3.5
468,2020-12-31 12:01:08,Caipirinha,3.5
469,2020-12-26 03:31:38,Kiwi Papaya Smoothie,5.15
470,2020-12-27 03:33:23,Lone Tree Cooler,5.5
471,2020-12-27 23:14:10,Manhattan,4.2
472,2020-12-30 10:01:35,Valencia Cocktail,5.5
473,2020-12-30 11:50:46,Monkey Gland,11.0
474,2020-12-30 17:44:14,Clover Club,4.99
475,2020-12-31 13:10:55,Dry Martini,8.0
476,2020-12-26 19:10:39,Margarita,7.5
477,2020-12-29 23:25:15,Bora Bora,2.99
478,2020-12-31 05:48:17,Imperial Cocktail,4.99
479,2020-12-28 23:16:56,Old Fashioned,5.5
480,2020-12-30 03:04:09,Ipamena,2.99
481,2020-12-30 17:49:25,Imperial Cocktail,4.99
482,2020-12-28 05:59:54,Queen Charlotte,8.0
483,2020-12-30 10:24:18,Iced Coffee Fillip,5.0
484,2020-12-28 10:19:42,Mulled Wine,11.0
485,2020-12-26 11:17:14,Sea breeze,8.0
486,2020-12-29 08:22:18,Ace,12.0
487,2020-12-27 23:03:24,H.D.,7.5
488,2020-12-30 01:00:49,Long Island Tea,8.0
489,2020-12-30 10:01:40,Margarita,7.5
490,2020-12-25 23:16:40,Coffee Liqueur,5.5
491,2020-12-26 14:27:06,Manhattan,4.2
492,2020-12-29 19:48:50,Sea breeze,8.0
493,2020-12-29 04:41:10,A. J.,11.0
494,2020-12-30 15:05:02,Gin Rickey,4.0
495,2020-12-26 05:35:22,Grasshopper,4.99
496,2020-12-31 18:53:26,Gimlet,4.2
497,2020-12-28 20:06:16,Gimlet,4.2
498,2020-12-30 15:53:30,Tom Collins,5.5
499,2020-12-31 14:12:22,Yellow Bird,8.0
500,2020-12-29 20:31:15,Lemouroudji,5.15
501,2020-12-29 19:37:52,H.D.,7.5
502,2020-12-25 20:59:16,Gin Rickey,4.0
503,2020-12-27 14:40:18,Monkey Gland,11.0
504,2020-12-26 02:14:24,Irish Coffee,7.5
505,2020-12-29 23:27:47,Grim Reaper,4.0
506,2020-12-30 09:47:20,Hawaiian Cocktail,6.5
507,2020-12-28 11:17:58,Jitterbug,4.0
508,2020-12-30 03:13:56,Orgasm,5.15
509,2020-12-27 12:55:06,Imperial Cocktail,4.99
510,2020-12-26 10:00:03,Bijou,4.0
511,2020-12-28 10:06:22,Hawaiian Cocktail,6.5
512,2020-12-26 19:39:39,Homemade Kahlua,6.5
513,2020-12-27 01:28:07,Shot-gun,7.5
514,2020-12-29 03:18:32,Victory Collins,7.5
515,2020-12-27 14:00:21,Grasshopper,4.99
